Well,Mean Intensity 405nm,Mean Intensity 488nm,Mean Intensity 561nm,Mean Intensity 640nm,Mean Intensity CyOFP405FR,Mean Intensity CyOFP488FR,Mean Intensity LSSmOrange,Mean Intensity TagRFP675,Mean Intensity mTsapphire
67,104.83063592905384,102.21542579729716,100.38855674831092,111.639661256757,101.83664905405419,106.6526878547299,102.34977468243211,106.60653880405403,110.59778569932395
68,104.62788365514652,102.73937338842973,100.59683066904583,111.748052903832,101.82827778362163,106.6591393501127,102.59085326070615,108.15780824568007,111.03333740045109
69,104.97089579414397,102.86538532386886,100.79316574445437,112.07274546583862,101.9450481188999,106.93219004436565,102.76188002218277,108.86187400177484,111.74963788376226
70,104.72425468986398,103.25689660741297,100.99820851966712,111.63266922844166,102.69166925113463,109.05862388426637,109.29400355143719,126.23586173978843,112.65620549546153
71,105.08287755203156,103.41540092170459,101.1376153384539,111.77418785431092,102.7588098116947,109.27706008424192,109.96840658572833,128.06649066402366,113.55760031219003
72,104.9639224820144,103.2929743565149,101.6513548085531,111.72657197042363,102.74028923661056,109.36492423261396,109.79562818944842,127.9556652797762,113.39657732613885
96,105.09016005696733,103.61337441279574,101.33890301489919,111.79715845311142,102.6647801139352,107.3757782077125,115.56726404907968,111.51339218229619,208.3485999211217
95,104.94202502160172,103.53527786307725,101.08437271352591,111.87807032568946,102.56244524426687,107.1765981887673,114.57851199401784,110.96333302093714,201.05993416417368
94,104.95736454877589,103.37700951041295,101.07609190500547,111.69637417975872,102.48225008403374,107.17314527219564,113.07919177566704,110.61131643039842,188.78746625502373
93,104.71301618707588,102.90210094609053,100.8351713780792,123.86141679043213,102.1689134987505,107.16413142449109,102.77930388075683,109.02384645840792,111.55693318100681
92,104.7462580674847,102.89190162235865,100.68681864110417,112.01427025221564,101.9407847511929,106.89851261077015,102.72494634969333,108.62672713701443,111.4322313156101
91,104.86601724738654,102.89745895034837,100.48038943466891,112.04998496515691,101.91503442944256,106.83511802700346,102.74790808362383,108.4588899520909,111.64133865418135
90,104.92722471592887,103.04438912513058,115.75719050052263,111.755121850819,102.090669850122,113.23764540257929,102.86730509585247,130.8103177169744,111.84624167305702
89,104.99001782799456,103.10632178148316,114.89115233567367,111.75429980254519,101.97163155770063,113.00650463799921,102.90492200965315,130.8667038394032,112.15647964458097
88,105.14112112915141,102.69844851660535,110.88851586125449,111.7770786494466,101.94613721033224,110.99513991881929,102.687926295203,123.24643161623611,111.77990424723232
87,106.92764274651294,103.20402833573856,100.18006577200582,111.78576679172693,102.06522853775861,107.12099668109667,103.05394391053407,109.1895269889371,114.45965643578617
86,120.68153449504064,103.35027719116319,100.23692396393155,112.00220141568988,102.18037379621292,107.37866853020748,103.72828888187551,109.99804585211893,126.85618964833192
85,141.79020119957534,103.2338057855626,100.16996252123123,111.7389934607217,102.03867523354565,106.94382962844999,104.38334487261139,109.56350451167722,144.38950611464972
109,113.5517197904193,488.5133368143719,100.24795256586827,112.0061524910181,102.96579456886215,115.6931688862277,118.39237220359283,216.44883031736475,376.87517441916253
110,114.3207166228573,557.4322329885716,100.16768381485717,111.7583842628571,102.88830226857155,116.3785044571428,120.50492358285733,233.8470175428572,417.5924047485719
111,115.13943781072572,553.6734205867509,100.32400620504743,111.90587948895887,103.45135039116725,117.68628148264986,121.33651729968443,237.46833440378543,420.05190311041014
112,111.56381193817485,116.3503480912658,2791.6164108881294,112.03735497546596,118.49757067222777,825.4730015603528,200.6962342001965,3957.9201195387677,134.13826087831225
113,108.29215675917189,109.49290408278442,1377.0071005973628,111.73705351364062,109.78958636406387,450.71219351364033,149.68130396048926,1760.7650486547477,123.15546361712124
114,108.36972676627568,111.82641706865886,1788.537474898612,112.04321722162881,109.23774579864816,523.9666917893993,150.40495107079317,2359.2364189612276,123.82054021344716
115,105.98039910483884,103.30904114112924,100.511465083468,119.12330171370981,102.39049961290327,107.3938882943548,103.03253426209677,109.93674226209666,112.89398685080667
116,104.65277369740367,103.06140484333022,100.76942542972259,118.47152803939126,102.32618360787824,107.42400898836145,102.89438663384065,109.45353263205021,111.71372957027748
117,105.14705794638314,103.38407969650987,100.90814486646403,119.37403801213952,102.72705741527557,107.9515231461807,103.16247128983308,111.14772405665124,112.69921528072838
118,104.74710693291864,103.496225840249,102.30700497614086,111.6332437621025,102.2063282434302,117.7770013934994,103.63180042531103,149.9666340663901,112.4696098409405
119,105.03868784981799,103.80943094938803,102.35339989414457,111.88125118756197,102.26987387032739,117.19557455176988,103.8507902348661,148.3013970261326,113.4811808931523
120,104.83988920197052,103.85312944827619,102.38313839901475,111.71205256157631,102.36790188177338,116.93765727586195,103.87835997536932,148.05338696059135,113.32303858620692
144,104.82809319502081,103.89911590989918,102.10378668049815,119.67400267338462,102.699032329579,111.26229652045063,103.48991807943099,113.14116272080639,113.41684756372244
143,105.24866445442301,103.87442032330468,102.43843696901662,120.30637488998667,102.71867918724715,111.81998856757988,103.66510777727866,113.7303309205205,114.17010588684319
142,104.88194122728686,103.62093766656045,102.29637896716623,118.97646388906638,102.41994955371386,110.77619897672919,103.31170992668164,112.2992303729678,112.97314838380646
141,105.00791003274384,103.00834619515382,100.83142054616897,116.69856812377188,102.28098903077938,107.2473371512768,102.88650188277664,109.33448979698758,112.06289471840203
140,104.72162285190275,103.11880188904205,100.61841925813849,116.76975519486464,102.25830719853266,107.1203035259057,102.87415602017415,109.316690357634,111.78534872077027
139,105.02838495008297,103.08101137271211,100.47051764808674,115.41105190099836,102.36857778286195,107.2571013477539,102.85822534525806,109.39063885191362,111.95435382695516
135,106.47305482742762,505.41883347445946,100.20335313851808,111.76188104003685,102.14775199263681,114.8538942797976,105.2894464565118,290.2757396916706,151.8578089323518
134,105.79153163522015,463.93382578616365,100.17576396226424,111.44645452830179,102.06470226415088,113.48552380503146,105.01879251572335,269.8309197169812,151.17735509433967
133,105.67954023961661,516.5568318051116,100.18914108466451,111.52160367412142,102.20377733226836,114.61281266773165,105.53918212460066,293.30347591054306,158.79247627795525
157,105.66873236159769,1138.8626382620896,100.22215111983192,111.89012390329371,102.12274104414857,141.61268549404332,104.04482412053261,868.7459700911002,123.3031287946744
158,105.42256773114023,4574.199142626206,100.26701995462294,111.44679224617141,102.1697462053318,268.24390709585936,106.36023562677266,3385.438337612024,156.10475721497423
159,105.79045584680861,1085.9965974893596,100.26082262425521,111.85412654042564,102.19915616595732,141.7719124297869,104.0134330468085,856.1292808936165,122.82049652340457
166,104.83923159100934,103.28576087703844,101.16308210621429,111.75398148964332,102.16165919347749,107.25469000440751,103.16643989422634,110.50189236227412,112.75072792860301
167,105.00798015679426,103.42414646341452,101.32319983449457,111.9167244512196,102.32044152439016,107.51367023519164,103.31548945993042,110.9987986236933,113.18384775261315
168,105.15391729518831,103.47013845903781,101.23888328868667,111.80383151495457,102.17143995448633,107.49036576723026,103.35652301040298,111.20254401170365,113.6458414889467
183,105.15203976817713,446.62920945732304,100.43999158746034,111.64547772918876,102.03841293466807,140.72385773445703,103.47459989462597,765.3643188303482,115.001053487882
182,105.09465414179095,1844.359873470147,101.31212239179088,111.80479936567168,101.95092189365684,287.11795878731317,104.99780630597007,3308.1887269589593,125.72369525186555
181,105.31631329062327,5557.305771129875,104.05099170064064,111.57785700640665,102.31942629586479,684.9891585032029,110.2873451368666,10278.782977740235,160.38759313919618
